indiv,site,lat,long,band,phenotype,sex,mtDNA
10,MB,50.78288,-99.60707,2490-57320,GWWA,M,GW
100,WV,38.31352,-80.09339,2540-29248,GWWA,M,GW
102,WV,38.31355,-80.07955,2540-29255,GWWA,M,GW
104,WV,38.92213,-79.74098,2540-29297,GWWA,M,GW
105,WV,38.92885,-79.74891,2540-29298,BWWA,M,BW
108,WV,39.40772,-79.70181,2600-29405,GWWA,M,GW
109,WV,39.40772,-79.70181,2600-29406,BRWA,M,GW
11,MB,50.78018,-99.63021,2490-57321,GWWA,M,GW
110,WV,39.40772,-79.70181,2600-29407,BWWA,M,BW
111,WV,39.40551,-79.70168,2600-29408,BWWA,M,GW
112,WV,39.40587,-79.70256,2600-29409,GWWA,M,GW
113,WV,39.40486,-79.64141,2600-29410,GWWA,M,GW
121,WI,45.80668,-89.80159,2260-82906,GWWA,M,GW
122,WI,45.68199,-89.58989,2260-82912,GWWA,M,GW
123,WI,45.78475,-89.56732,2260-82914,GWWA,M,GW
124,WI,45.66237,-89.55609,2260-82917,GWWA,M,GW
126,WI,45.78475,-89.56732,2260-82923,GWWA,M,BW
127,WI,45.78475,-89.56732,2260-82925,GWWA,M,GW
128,WI,45.80668,-89.80159,2260-82930,GWWA,M,GW
129,WI,45.68199,-89.58989,2260-82934,GWWA,M,GW
13,MB,51.00067,-100.06663,2490-57323,GWWA,M,GW
131,WI,45.77707,-89.66003,2260-82941,GWWA,M,GW
132,WI,45.68199,-89.58989,2260-82946,GWWA,M,GW
135,WI,45.80668,-89.80159,2260-82979,GWWA,M,GW
136,WI,45.66237,-89.55609,2260-82980,GWWA,M,GW
137,WI,45.77707,-89.66003,2260-82985,GWWA,M,GW
138,WI,45.71045,-89.79059,2260-82988,GWWA,M,GW
139,WI,45.68199,-89.58989,2260-82990,GWWA,M,BW
14,MB,51.00067,-100.06663,2490-57324,GWWA,M,GW
140,WI,45.68199,-89.58989,2260-82991,GWWA,M,GW
141,WI,45.77707,-89.66003,2260-82994,GWWA,M,BW
142,WI,45.66237,-89.55609,2260-82996,GWWA,M,GW
143,WI,43.85834,-91.01631,2620-67701,BWWA,M,BW
144,WI,43.85925,-91.01697,2620-67702,BWWA,M,BW
145,WI,43.84411,-91.02056,2620-67703,BWWA,M,BW
146,WI,43.83981,-91.02539,2620-67705,BWWA,M,BW
147,WI,43.84111,-91.03021,2620-67709,BWWA,M,BW
148,WI,43.85414,-91.02585,2620-67711,BWWA,M,GW
149,WI,43.85279,-91.02163,2620-67713,BWWA,M,BW
15,MB,50.99824,-100.06531,2490-57325,GWWA,M,GW
150,WI,43.87462,-91.19008,2620-67716,BWWA,M,BW
151,WI,44.01171,-91.20619,2620-67717,BWWA,M,BW
152,WI,43.85061,-91.01711,2620-67719,BWWA,M,GW
153,WI,43.85061,-91.01711,2620-67729,BWWA,M,BW
154,WI,43.85061,-91.01711,2620-67733,BWWA,M,BW
16,MB,50.96823,-100.921,2490-57326,GWWA,M,GW
160,TN,36.163775,-84.18023,2320-14543,GWWA,M,GW
161,TN,36.17352,-84.19249,2440-76943,GWWA,M,GW
162,TN,36.17053,-84.17573,2440-76944,GWWA,M,GW
163,TN,36.17396,-84.18379,2440-76955,GWWA,M,GW
164,TN,36.16382,-84.17421,2440-76956,GWWA,M,GW
165,TN,36.17299,-84.19287,2440-76957,GWWA,M,GW
166,TN,36.17364,-84.18435,2440-76959,GWWA,M,BW
167,TN,36.17017,-84.17455,2440-76960,GWWA,M,GW
168,TN,36.16079,-84.17378,3500-59322,BRWA,M,GW
169,TN,36.16021,-84.1812,1800-19368,GWWA,M,GW
17,MB,50.96878,-100.92269,2490-57327,GWWA,M,GW
170,TN,36.17429,-84.19019,2430-79475,GWWA,M,GW
171,TN,36.15396,-84.18329,3500-59323,GWWA,M,GW
172,TN,36.1537,-84.18141,3500-59324,GWWA,M,GW
173,TN,36.15551,-84.18119,3500-59325,BRWA,M,GW
174,TN,36.15357,-84.19018,3500-59326,BWWA,M,BW
175,TN,36.16208,-84.17475,3500-59328,GWWA,M,GW
176,TN,36.16027,-84.18137,3500-59329,GWWA,M,GW
177,TN,36.16282,-84.17381,3500-59335,GWWA,M,GW
179,TN,36.15392,-84.18406,3500-59367,GWWA,M,GW
18,MB,50.95628,-100.9099,2490-57328,GWWA,M,GW
180,TN,36.15474,-84.18146,3500-59369,GWWA,M,GW
181,TN,36.15479,-84.18141,3500-59370,GWWA,M,GW
182,TN,36.15445,-84.18285,3500-59371,BRWA,M,BW
183,TN,36.15457,-84.18282,3500-59372,GWWA,M,BW
184,TN,36.16078,-84.17556,3500-59389,GWWA,M,GW
185,TN,36.16281,-84.17553,3500-59390,GWWA,M,GW
186,TN,36.1538,-84.18268,3500-59391,GWWA,M,GW
187,TN,36.16078,-84.17556,2470-16201,GWWA,M,
188,TN,36.16078,-84.17556,2470-16204,GWWA,M,
19,MB,50.99858,-100.06525,2060-41035,GWWA,M,GW
2,MB,51.00867,-100.06289,2490-57311,GWWA,M,GW
20,MB,50.78212,-99.64647,2060-41047,GWWA,M,GW
201,MO,36.854632,-93.198161,OZ99-180,BWWA,M,BW
203,MO,36.854632,-93.198161,OZ00-001,BWWA,M,BW
204,MO,36.854632,-93.198161,OZ00-020,BWWA,M,BW
205,MO,36.854632,-93.198161,OZ02-027,BWWA,M,BW
208,MO,36.854632,-93.198161,OZ02-098,BWWA,M,BW
21,MB,50.78105,-99.64789,2060-41048,GWWA,M,GW
212,MO,36.854632,-93.198161,OZ02-124,BWWA,M,BW
213,MO,36.854632,-93.198161,OZ02-155,BWWA,M,BW
214,MO,36.854632,-93.198161,OZ02-163,BWWA,M,BW
22,MB,50.78106,-99.65028,2060-41049,GWWA,M,GW
23,MB,50.77897,-99.64996,2060-41050,GWWA,M,GW
24,MB,51.01443,-100.05849,2060-41052,GWWA,M,GW
25,MB,51.01276,-100.06193,2060-41053,GWWA,M,GW
26,MB,51.01483,-100.05978,2060-41054,GWWA,M,GW
27,MB,51.01476,-100.05995,2060-41055,GWWA,M,GW
28,MB,51.01946,-100.06096,2060-41056,GWWA,M,GW
29,MB,51.00398,-100.07306,2060-41057,GWWA,M,GW
3,MB,51.00304,-100.06302,2490-57312,GWWA,M,GW
30,MB,51.00105,-100.06779,2060-41058,GWWA,M,GW
32,MB,50.9965,-100.06637,2060-41060,GWWA,M,GW
33,MB,50.99435,-100.06808,2060-41061,GWWA,M,GW
34,MB,50.97056,-100.26466,2060-41062,GWWA,M,GW
36,MB,50.97605,-100.25714,2060-41066,GWWA,M,GW
4,MB,50.78376,-99.60722,2490-57313,GWWA,M,GW
42,NY,44.3048,-75.55307,2400-58227,BWWA,M,GW
43,NY,44.41611,-75.32632,2400-58235,GWWA,M,GW
45,NY,44.46883,-75.4274,2400-58214,GWWA,M,GW
46,NY,44.4016,-75.56446667,2400-58209,BRWA,M,
47,NY,44.4995,-75.3174,2400-58221,BWWA,M,BW
49,NY,44.3079,-75.55127,2400-58229,GWWA,M,BW
5,MB,50.78466,-99.60886,2490-57314,GWWA,M,GW
50,NY,44.4852,-75.41182,240058216,BRWA,M,
51,NY,44.3075,-75.5968,2400-58231,BWWA,M,BW
53,NY,44.42018,-75.29177,2400-58237,BWWA,M,GW
54,NY,44.45063,-75.27773,2400-58220,GWWA,M,GW
56,NY,44.4631,-75.4308,2400-58213,GWWA,M,GW
58,NY,44.3118,-75.61927,240058239,BRWA,M,
59,NY,44.31183,-75.54958,2400-58210,GWWA,M,GW
6,MB,50.78112,-99.61967,2490-57315,GWWA,M,GW
60,NY,44.39585,-75.48518,240058244,GWWA,M,
61,NY,44.39632,-75.48342,240058246,GWWA,M,
62,NY,44.34235,-75.62628,240058248,GWWA,M,
65,NY,44.49482,-75.32515,2400-58225,GWWA,M,GW
