Individual,Record Number,Species,Latitude,Longitude,Band#
701,OE20T01,GWWA,41.210971,-74.23641,215081701
703,OE20T03,BWWA,41.233434,-74.091252,215081703
704,OE21T01,BWWA,41.234886,-74.237887,215081704
705,OE21T02,BWWA,41.225508,-74.213411,215081705
706,OE21T03,BRWA,41.196066,-74.25598,215081706
707,OE21T04,GWWA,41.197464,-74.254768,215081707
708,OE22T01,BWWA,41.188546,-74.260289,215081708
709,OE22T02,BWWA,41.189318,-74.260195,215081709
711,OE22T04,GWWA,41.261847,-74.174682,215081711
712,OE23T01,GWWA,41.262409,-74.174583,215081712
713,OE24T01,BRWA,44.38348,-75.661014,215081713
714,OE24T02,GWWA,44.375757,-75.675113,215081714
716,OE24T04,GWWA,44.373562,-75.694552,215081716
718,OE24T06,INTR,44.384973,-75.700134,215081718
720,OE24T08,BWWA,44.390593,-75.698829,215081720
721,OE25T01,GWWA,44.372909,-75.704105,215081721
724,OE25T04,BWWA,44.400149,-75.695038,215081724
725,OE26T01,GWWA,44.419696,-75.667912,215081725
729,OE26T05,INTR,44.426426,-75.663025,215081729
733,OE27T02,GWWA,44.388354,-75.638707,215081733
738,OE28T02,GWWA,44.380308,-75.598252,215081738
741,OF01T01,BWWA,42.482955,-76.790231,215081741
742,OF03T01,BWWA,42.493499,-76.449233,215081742
743,OF03T02,BWWA,42.66489,-76.34628,215081743
