"BRWA"	"BWWA"	"GWWA"
"V2"	0	0.1108	0.0379
"V3"	0	0.0726	0.0459
"V4"	0	0.0726	0.0455
"V5"	0.125	0.3351	0.3182
"V6"	0	0	0.0519
"V7"	0.3611	0.3823	0.2215
"V8"	0.1111	0.0815	0.0568
"V9"	0	0.1286	0.117
"V10"	0	0.1208	0.1428
"V11"	0	0.0588	0.0391
"V12"	0	0.0588	0.0526
"V13"	0.5	0.1538	0.0419
"V14"	0	0.2179	0.1771
"V15"	0.5833	0.45	0.3294
"V16"	0.5833	0.4667	0.3345
"V17"	0	0	0.0575
"V18"	0.2	0.1286	0.1201
"V19"	0.1667	0.1286	0.0594
"V20"	0	0.2582	0.0156
"V21"	0	0	0.1543
"V22"	0.2	0.1374	0.1044
"V23"	0.2	0.1474	0.1044
"V24"	0.5238	0.5098	0.501
"V25"	0.5	0.4265	0.4231
"V26"	0	0.0769	0.061
"V27"	0.35	0.1857	0.032
"V28"	0	0.1653	0.0548
"V29"	0.3056	0.1613	0.1332
"V30"	0	0	0.0752
"V31"	0	0	0.0752
"V32"	0.2321	0.1214	0.0443
"V33"	0.1429	0	0.0967
"V34"	0	0.0417	0.0532
"V35"	0	0.0833	0.054
"V36"	0	0.2026	0.304
"V37"	0	0.1208	0.2752
"V38"	0	0.125	0.0488
"V39"	0.25	0.3167	0.2813
"V40"	0	0.1421	0.0595
"V41"	0	0	0.1103
"V42"	0	0.166	0.1393
"V43"	0	0.166	0.1322
"V44"	0	0.0417	0.0458
"V45"	0.25	0	0.0582
"V46"	0.5179	0.5072	0.4798
"V47"	0	0	0.0694
"V48"	0	0.3718	0.0959
"V49"	0	0.1591	0.1045
"V50"	0	0	0.0553
"V51"	0	0.0769	0.0567
"V52"	0.1111	0.0677	0.0266
"V53"	0	0.0667	0.1105
"V54"	0	0	0.1578
"V55"	0	0	0.0539
"V56"	0	0	0.0559
"V57"	0.2083	0.1305	0.0519
"V58"	0	0.2738	0.3505
"V59"	0.1111	0.1601	0.1546
"V60"	0.1111	0.0345	0.0603
"V61"	0	0.0677	0.0849
"V62"	0	0.0677	0.0775
"V63"	0.1111	0.0345	0.0603
"V64"	0.1111	0.0998	0.0178
"V65"	0	0.0677	0.0435
"V66"	0.125	0.0754	0.0803
"V67"	0	0	0.0524
"V68"	0	0.2167	0.1098
"V69"	0	0.1429	0.0859
"V70"	0.5	0.5333	0.498
"V71"	0	0.3727	0.4071
"V72"	0	0.0769	0.0576
"V73"	0	0.0714	0.0555
"V74"	0.3333	0	0.0388
"V75"	0	0.1374	0.0776
"V76"	0.55	0.3917	0.4908
"V77"	0.5	0.3462	0.3522
"V78"	0.5	0.489	0.4953
"V79"	0	0.1958	0.1323
"V80"	0	0.1032	0.0349
"V81"	0.2083	0.1032	0.0438
"V82"	0.5357	0.5014	0.501
"V83"	0	0	0.0528
"V84"	0.3571	0.4283	0.4338
"V85"	0.2083	0.2167	0.1076
"V86"	0	0.085	0.0505
"V87"	0.1111	0.1245	0.0306
"V88"	0	0.1299	0.1385
"V89"	0.5	0.1196	0.2056
"V90"	0	0.0417	0.1156
"V91"	0.6	0.4964	0.4866
"V92"	0.3333	0	0.106
"V93"	0.3333	0	0.096
"V94"	0.2083	0.266	0.3202
"V95"	0.3	0.0667	0.1115
"V96"	0.3	0.1208	0.2177
"V97"	0	0.0625	0.0523
"V98"	0.1667	0.0667	0.0815
"V99"	0	0.0625	0.0983
"V100"	0	0.0345	0.0849
"V101"	0	0.0677	0.0687
"V102"	0	0.225	0.1801
"V103"	0	0.1245	0.0324
"V104"	0	0.0417	0.0534
"V105"	0.2083	0.3415	0.2873
"V106"	0.4306	0.3	0.1509
"V107"	0.5179	0.4801	0.3956
"V108"	0.5357	0.4743	0.4865
"V109"	0.125	0.0476	0.0806
"V110"	0	0.0726	0.0912
"V111"	0	0.1958	0.027
"V112"	0.3214	0.2765	0.3218
"V113"	0.125	0	0.0534
"V114"	0.125	0	0.0534
"V115"	0.2321	0.2235	0.2039
"V116"	0	0.1286	0.1605
"V117"	0.2	0.0556	0.05
"V118"	0	0	0.1143
"V119"	0	0	0.0563
"V120"	0	0.0345	0.0525
"V121"	0	0.0726	0.1146
"V122"	0.2857	0.0726	0.1146
"V123"	0.1667	0.34	0.3748
"V124"	0.4762	0.037	0.1286
"V125"	0.3571	0.35	0.3363
"V126"	0	0.2033	0.1853
"V127"	0.1667	0	0.0752
"V128"	0.125	0.0783	0.033
"V129"	0.125	0.1299	0.1733
"V130"	0.1429	0.1786	0.0921
"V131"	0	0	0.0849
"V132"	0	0	0.0768
"V133"	0.1111	0.0345	0.0769
"V134"	0.2	0.3167	0.299
"V135"	0.4	0.4053	0.2856
"V136"	0.3	0.2026	0.2556
"V137"	0.5	0.5117	0.5007
"V138"	0.5	0.5105	0.5007
"V139"	0.55	0.481	0.471
"V140"	0.1667	0.4542	0.3672
"V141"	0	0.3393	0.1653
"V142"	0.1111	0.0754	0.057
"V143"	0	0.0754	0.0568
"V144"	0	0.2677	0.2466
"V145"	0.2083	0.1909	0.0686
"V146"	0.4722	0.4717	0.5023
"V147"	0.1111	0.0345	0.094
"V148"	0.1111	0	0.109
"V149"	0	0.0667	0.0739
"V150"	0.3333	0	0.0435
"V151"	0	0.0667	0.0575
"V152"	0	0.0667	0.0575
"V153"	0.5	0.4007	0.4096
"V154"	0.3333	0.1381	0.2356
"V155"	0	0.219	0
"V156"	0	0.0476	0.0486
"V157"	0	0	0.0524
"V158"	0.1111	0.2023	0.1266
"V159"	0.1111	0.2023	0.1266
"V160"	0	0.2426	0.3457
"V161"	0.3611	0.2414	0.3062
"V162"	0	0.2132	0.3003
"V163"	0.5833	0.5029	0.4511
"V164"	0	0.1654	0.0143
"V165"	0	0.1569	0.2801
"V166"	0.25	0.2605	0.1745
"V167"	0	0.087	0.1184
"V168"	0	0.0435	0.0857
"V169"	0.1429	0.3	0.2738
"V170"	0.3333	0.2658	0.0748
"V171"	0.3333	0.2658	0.0748
"V172"	0.3214	0.4405	0.4455
"V173"	0	0.0998	0.1693
