"BRWA","BWWA","GWWA"
"V2",0,0.1154,0.0385
"V3",0,0.0741,0.028
"V4",0,0.0741,0.0278
"V5",0.125,0.4167,0.2727
"V6",0,0,0.0531
"V7",0.4444,0.3571,0.1982
"V8",0.1111,0.0833,0.0583
"V9",0,0.1333,0.0411
"V10",0,0.125,0.0417
"V11",0,0.0588,0.0132
"V12",0,0.0588,0
"V13",0,0,0.0141
"V14",0,0.0769,0.1045
"V15",0.5,0.25,0.1364
"V16",0.5,0.2667,0.1493
"V17",0,0,0.0588
"V18",0.2,0.1333,0.0952
"V19",0.1667,0.1333,0.0303
"V20",0,0.1429,0.0156
"V21",0,0,0.1061
"V22",0.2,0.1429,0.0781
"V23",0.2,0.1538,0.0781
"V24",0.5714,0.6667,0.6308
"V25",0.8,0.4706,0.4462
"V26",0,0.0769,0.0625
"V27",0.4,0.2,0.0323
"V28",0,0.1786,0.0561
"V29",0.1111,0.1034,0.1429
"V30",0,0,0.0778
"V31",0,0,0.0778
"V32",0.25,0.0417,0.0225
"V33",0.1429,0,0.0787
"V34",0,0.0417,0.0543
"V35",0,0,0.011
"V36",0,0.2222,0.3704
"V37",0,0.125,0.3256
"V38",0,0,0
"V39",0.25,0.25,0.2444
"V40",0,0.15,0.061
"V41",0,0,0.093
"V42",0,0,0.1034
"V43",0,0,0.0941
"V44",0,0.0417,0.0233
"V45",0,0,0.0357
"V46",0.25,0.2917,0.3218
"V47",0,0,0.0476
"V48",0,0.3077,0.0714
"V49",0,0.1667,0.0822
"V50",0,0,0.0282
"V51",0,0.0769,0.058
"V52",0.1111,0.069,0.0089
"V53",0,0.0667,0.0385
"V54",0,0,0.0566
"V55",0,0,0.0182
"V56",0,0,0.0189
"V57",0.2222,0.1379,0.0531
"V58",0,0.3214,0.3784
"V59",0.1111,0.1724,0.1681
"V60",0.1111,0.0345,0.0619
"V61",0,0.069,0.0885
"V62",0,0.069,0.0804
"V63",0.1111,0.0345,0.0619
"V64",0.1111,0.1034,0.0179
"V65",0,0.069,0.0442
"V66",0.125,0.0769,0.0833
"V67",0,0,0.0536
"V68",0,0.1724,0.1161
"V69",0,0,0.0889
"V70",0.6667,0.4,0.6271
"V71",0,0.2727,0.5636
"V72",0,0.0769,0.0588
"V73",0,0.0714,0.0566
"V74",0.3333,0,0.0392
"V75",0,0.1429,0.08
"V76",0.6,0.25,0.2656
"V77",0.6667,0.4286,0.4118
"V78",0.6667,0.6429,0.566
"V79",0,0.1429,0.0808
"V80",0,0.1071,0.0354
"V81",0.2222,0.1071,0.0446
"V82",0.5,0.5926,0.6296
"V83",0,0,0.0541
"V84",0.4286,0.44,0.5474
"V85",0.2222,0.1429,0.0928
"V86",0,0.087,0.0515
"V87",0.1111,0.1304,0.0309
"V88",0,0.1364,0.1489
"V89",0.3333,0.125,0.1429
"V90",0,0.0417,0.0778
"V91",0.2,0.5,0.2935
"V92",0,0,0.0222
"V93",0,0,0.0111
"V94",0.2222,0.3103,0.3451
"V95",0.3333,0.0667,0.1176
"V96",0.3333,0.125,0.2192
"V97",0,0.0625,0.0533
"V98",0.1667,0.0667,0.0845
"V99",0,0.0625,0.1029
"V100",0,0.0345,0.0885
"V101",0,0.069,0.0531
"V102",0,0.25,0.0328
"V103",0,0.1304,0.0109
"V104",0,0.0417,0.0109
"V105",0.2222,0.2692,0.2897
"V106",0.3333,0.36,0.1636
"V107",0.625,0.7037,0.4412
"V108",0.375,0.5652,0.1905
"V109",0.125,0.0476,0.0357
"V110",0,0.0741,0.0762
"V111",0,0.1429,0.0273
"V112",0.375,0.1786,0.2545
"V113",0.125,0,0.0364
"V114",0.125,0,0.0364
"V115",0.25,0.1786,0.2294
"V116",0,0.1333,0.1746
"V117",0.2,0.0556,0.0508
"V118",0,0,0.1207
"V119",0,0,0.0577
"V120",0,0.0345,0.0179
"V121",0,0.0741,0.0808
"V122",0,0.0741,0.0808
"V123",0.1667,0.3462,0.2929
"V124",0,0.037,0.098
"V125",0.4286,0.4375,0.2344
"V126",0,0.0714,0.0678
"V127",0.1667,0,0.0778
"V128",0.125,0.08,0.0333
"V129",0.125,0.1364,0.1905
"V130",0.1429,0.0952,0.0685
"V131",0,0,0.0885
"V132",0,0,0.0796
"V133",0.1111,0.0345,0.0619
"V134",0.2,0.25,0.2754
"V135",0.5,0.55,0.3151
"V136",0.3333,0.2222,0.2727
"V137",1,0.5789,0.56
"V138",1,0.6,0.5658
"V139",0.6,0.5714,0.4684
"V140",0.1667,0.5556,0.3733
"V141",0,0.125,0.18
"V142",0.1111,0.0769,0.0194
"V143",0,0.0769,0.0583
"V144",0,0.1538,0.1333
"V145",0.2222,0.069,0.0708
"V146",0.4444,0.3793,0.4196
"V147",0.1111,0.0345,0.0625
"V148",0.1111,0,0.0973
"V149",0,0.0667,0.0152
"V150",0,0,0.0441
"V151",0,0.0667,0.0588
"V152",0,0.0667,0.0588
"V153",0.2,0.4118,0.2464
"V154",0,0.0476,0.0641
"V155",0,0.0476,0
"V156",0,0.0476,0.0247
"V157",0,0,0.0536
"V158",0.1111,0.1481,0.1171
"V159",0.1111,0.1481,0.1171
"V160",0,0.2069,0.3153
"V161",0.4444,0.2759,0.2679
"V162",0,0.2353,0.3651
"V163",0.25,0.8421,0.5972
"V164",0,0.1765,0.0143
"V165",0,0.1667,0.2464
"V166",0.25,0.3,0.1918
"V167",0,0,0.05
"V168",0,0.0435,0.0127
"V169",0.1429,0.15,0.1692
"V170",0,0.1,0.0462
"V171",0,0.1,0.0462
"V172",0.375,0.3333,0.2985
"V173",0,0.1034,0.1681
"V174",0.1111,0.2069,0.1947
"V175",0,0,0.0125
"V176",0.2857,0.3333,0.2619
"V177",0,0.05,0.0476
"V178",0,0.0345,0.0796
"V179",0.1111,0.069,0.115
"V180",0.125,0.25,0.2021
"V181",0,0.0714,0.0381
"V182",0,0.0714,0.0377
"V183",0.25,0.4545,0.5172
"V184",0,0.0526,0.0449
"V185",0.4286,0.4,0.3936
"V186",0.5714,0.44,0.4021
"V187",0.125,0.0769,0.0213
"V188",0,0.0357,0.0442
"V189",0.125,0.0357,0.0531
"V190",0,0,0.02
"V191",0,0.125,0.0385
"V192",0.125,0.04,0.1402
"V193",0.2857,0.5,0.4059
"V194",0,0.0741,0.0673
"V195",0,0.0952,0.0548
"V196",0,0.0588,0.0556
"V197",0,0,0.0185
"V198",0.25,0.1667,0
"V199",0.4444,0.6552,0.5089
"V200",0.2222,0.1379,0.1593
"V201",0,0.1071,0.0354
"V202",0.4,0.4583,0.4419
"V203",0,0,0.0323
"V204",0,0.4483,0.3982
"V205",0.6667,0.3929,0.4865
"V206",0.6667,0.3448,0.5
"V207",0,0.0345,0.0708
"V208",0,0.0345,0.0619
"V209",0.1429,0.3182,0.2987
"V210",0,0.1429,0.137
"V211",0,0.0556,0.0274
"V212",0.25,0.2,0.0213
"V213",0,0,0.0208
"V214",0,0,0.0204
"V215",0,0.0588,0.1014
"V216",0,0.0625,0.0597
"V217",0.4286,0.3571,0.3924
"V218",0,0.3158,0.0882
"V219",0,0.0714,0.0357
"V220",0.6667,0.5172,0.486
"V221",0.1111,0.0345,0.0364
"V222",0,0.5,0.4615
"V223",0,0.3,0.1695
"V224",0.25,0.1429,0.1273
"V225",0.6667,0.5,0.18
"V226",0.125,0.1739,0.2069
"V227",0.125,0.04,0
"V228",0,0.1429,0.1
"V229",0,0.1739,0.0968
"V230",0,0,0.0538
"V231",0.3333,0.3929,0.3426
"V232",0.3333,0.4286,0.3585
"V233",0.1667,0.087,0.1379
"V234",0,0.2174,0.2093
"V235",0,0.1304,0.093
"V236",0,0.0455,0.0235
"V237",0,0.1379,0.0826
"V238",0.125,0.0435,0.0543
"V239",0.2,0.0588,0.1857
"V240",0,0.0556,0.1061
"V241",0,0.0556,0.0429
"V242",0,0.0769,0.0357
"V243",0.1111,0.0714,0.027
"V244",0.1667,0.1538,0.1379
"V245",0,0.0345,0.0625
"V246",0,0,0.12
"V247",0,0.1538,0.0612
"V248",0.5556,0.4483,0.4336
"V249",0.2222,0.3704,0.3364
"V250",0.125,0.0357,0.1165
"V251",0,0.0714,0.0388
"V252",0.25,0.1071,0.1569
"V253",0,0,0.0392
"V254",0.1111,0.1111,0.0826
"V255",0,0.1034,0.1681
"V256",0,0.1111,0.2037
"V257",0,0.0714,0.1818
"V258",0.125,0,0.0412
"V259",0,0.0833,0.0417
"V260",0.1111,0.0357,0.0354
"V261",0,0.0556,0.0395
