"BRWA"	"BWWA"	"GWWA"
"V2"	0	-0.0417	-0.0148
"V3"	0	-0.0196	0.3896
"V4"	0	-0.0196	0.3897
"V5"	0	-0.2432	0.1429
"V6"	0	0	-0.0228
"V7"	-0.2308	0.0657	0.1054
"V8"	0	-0.0222	-0.0251
"V9"	0	-0.037	0.6488
"V10"	0	-0.0345	0.7082
"V11"	0	0	0.6637
"V12"	0	0	1
"V13"	1	1	0.6635
"V14"	0	0.6471	0.41
"V15"	0.1429	0.4444	0.586
"V16"	0.1429	0.4286	0.5538
"V17"	0	0	-0.0229
"V18"	0	-0.037	0.2068
"V19"	0	-0.037	0.4902
"V20"	0	0.4468	0
"V21"	0	0	0.3127
"V22"	0	-0.04	0.2518
"V23"	0	-0.0435	0.2518
"V24"	-0.0909	-0.3077	-0.2591
"V25"	-0.6	-0.1034	-0.0545
"V26"	0	0	-0.0244
"V27"	-0.1429	-0.0769	-0.0083
"V28"	0	-0.08	-0.0242
"V29"	0.6364	0.3588	-0.0725
"V30"	0	0	-0.0349
"V31"	0	0	-0.0349
"V32"	-0.0769	0.6567	0.4928
"V33"	0	0	0.1863
"V34"	0	0	-0.0225
"V35"	0	1	0.7964
"V36"	0	-0.0968	-0.2184
"V37"	0	-0.0345	-0.1831
"V38"	0	1	1
"V39"	0	0.2105	0.1311
"V40"	0	-0.0556	-0.0253
"V41"	0	0	0.1563
"V42"	0	1	0.2572
"V43"	0	1	0.2881
"V44"	0	0	0.4925
"V45"	1	0	0.3867
"V46"	0.5172	0.425	0.3292
"V47"	0	0	0.314
"V48"	0	0.1724	0.2549
"V49"	0	-0.0476	0.2131
"V50"	0	0	0.4909
"V51"	0	0	-0.0226
"V52"	0	-0.0182	0.6647
"V53"	0	0	0.6519
"V54"	0	0	0.6414
"V55"	0	0	0.6625
"V56"	0	0	0.6623
"V57"	-0.0667	-0.0566	-0.0228
"V58"	0	-0.1739	-0.0797
"V59"	0	-0.0769	-0.0874
"V60"	0	0	-0.0275
"V61"	0	-0.0182	-0.0419
"V62"	0	-0.0182	-0.0374
"V63"	0	0	-0.0275
"V64"	0	-0.037	-0.0045
"V65"	0	-0.0182	-0.0182
"V66"	0	-0.0204	-0.0383
"V67"	0	0	-0.023
"V68"	0	0.2045	-0.0571
"V69"	0	1	-0.0353
"V70"	-0.3333	0.25	-0.2594
"V71"	0	0.2683	-0.3846
"V72"	0	0	-0.0204
"V73"	0	0	-0.0196
"V74"	0	0	-0.0101
"V75"	0	-0.04	-0.0316
"V76"	-0.0909	0.3617	0.4588
"V77"	-0.3333	-0.2381	-0.1693
"V78"	-0.3333	-0.3146	-0.1429
"V79"	0	0.2703	0.3894
"V80"	0	-0.0385	-0.0136
"V81"	-0.0667	-0.0385	-0.0183
"V82"	0.0667	-0.1818	-0.2566
"V83"	0	0	-0.0233
"V84"	-0.2	-0.0272	-0.2617
"V85"	-0.0667	0.3407	0.1377
"V86"	0	-0.0233	-0.0213
"V87"	0	-0.0476	-0.0105
"V88"	0	-0.05	-0.0751
"V89"	0.3333	-0.0455	0.3052
"V90"	0	0	0.3272
"V91"	0.6667	-0.0073	0.3969
"V92"	1	0	0.7903
"V93"	1	0	0.8843
"V94"	-0.0667	-0.1667	-0.0777
"V95"	-0.1111	0	-0.0551
"V96"	-0.1111	-0.0345	-0.007
"V97"	0	0	-0.0207
"V98"	0	0	-0.037
"V99"	0	0	-0.0469
"V100"	0	0	-0.0419
"V101"	0	-0.0182	0.2267
"V102"	0	-0.1111	0.8179
"V103"	0	-0.0476	0.6642
"V104"	0	0	0.7964
"V105"	-0.0667	0.2117	-0.0083
"V106"	0.2258	-0.2	-0.0846
"V107"	-0.2069	-0.4659	-0.1153
"V108"	0.3	-0.1917	0.6085
"V109"	0	0	0.5569
"V110"	0	-0.0196	0.1647
"V111"	0	0.2703	-0.0093
"V112"	-0.1667	0.3541	0.2089
"V113"	0	0	0.3187
"V114"	0	0	0.3187
"V115"	-0.0769	0.2012	-0.125
"V116"	0	-0.037	-0.0877
"V117"	0	0	-0.0175
"V118"	0	0	-0.0556
"V119"	0	0	-0.0249
"V120"	0	0	0.66
"V121"	0	-0.0196	0.295
"V122"	1	-0.0196	0.295
"V123"	0	-0.0181	0.2184
"V124"	1	0	0.2377
"V125"	-0.2	-0.25	0.3031
"V126"	0	0.6486	0.6341
"V127"	0	0	-0.0349
"V128"	0	-0.0213	-0.0114
"V129"	0	-0.05	-0.0993
"V130"	0	0.4667	0.2562
"V131"	0	0	-0.0419
"V132"	0	0	-0.037
"V133"	0	0	0.1942
"V134"	0	0.2105	0.0791
"V135"	-0.25	-0.3571	-0.1033
"V136"	-0.1111	-0.0968	-0.0668
"V137"	-1	-0.1314	-0.1184
"V138"	-1	-0.1753	-0.13
"V139"	-0.0909	-0.1881	0.0055
"V140"	0	-0.223	-0.0167
"V141"	0	0.6316	-0.0889
